Date,PnL
2018-02-08,455713.52
2018-02-09,449574.78
2018-02-11,449001.98
2018-02-12,453833.32
2018-02-13,449903.56
2018-02-14,452007.39
2018-02-15,460735.11
2018-02-16,458001.48
2018-02-18,472914.95
2018-02-19,489176.60
2018-02-20,498870.73
2018-02-21,489791.54
2018-02-22,495362.40
2018-02-23,488614.31
2018-02-25,501515.27
2018-02-26,479045.30
2018-02-27,482080.23
2018-02-28,478550.59
2018-03-01,477098.02
2018-03-02,476480.30
2018-03-04,481193.01
2018-03-05,483602.87
2018-03-06,469773.92
2018-03-07,477960.24
2018-03-08,490760.44
2018-03-09,500018.35
2018-03-11,480957.52
2018-03-12,474678.65
2018-03-13,474627.43
2018-03-14,488661.46
2018-03-15,484254.76
2018-03-16,478152.48
2018-03-18,477573.38
2018-03-19,478083.14
2018-03-20,482307.81
2018-03-21,479829.35
2018-03-22,475178.73
2018-03-23,474544.58
2018-03-25,477207.38
2018-03-26,481507.50
2018-03-27,485982.91
2018-03-28,486117.85
2018-03-29,518393.84
2018-03-30,537818.39
2018-04-01,535433.60
2018-04-02,523347.59
2018-04-03,507192.20
2018-04-04,503799.99
2018-04-05,503147.43
2018-04-06,506441.33
2018-04-08,498157.72
2018-04-09,494999.44
2018-04-10,493805.00
2018-04-11,494914.60
2018-04-12,515453.73
2018-04-13,523288.76
2018-04-15,531668.90
2018-04-16,519728.06
2018-04-17,513172.46
2018-04-18,514068.23
2018-04-19,514951.43
2018-04-20,519286.22
2018-04-22,526824.51
2018-04-23,529137.57
2018-04-24,551184.28
2018-04-25,526661.86
2018-04-26,521515.89
2018-04-27,521553.19
2018-04-29,523260.31
2018-04-30,520406.23
2018-05-01,516267.35
2018-05-02,516094.08
2018-05-03,522522.84
2018-05-04,521498.93
2018-05-06,519613.42
2018-05-07,513870.81
2018-05-08,512316.77
2018-05-09,510883.92
2018-05-10,508510.84
2018-05-11,510748.94
2018-05-13,509327.54
2018-05-14,509727.28
2018-05-15,508082.33
2018-05-16,508398.63
2018-05-17,512847.57
2018-05-18,508435.57
2018-05-20,499941.87
2018-05-21,499486.31
2018-05-22,501079.85
2018-05-23,507410.17
2018-05-24,507001.55
