Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
BITCOIN,Long,BTCUSD,586701,5,2015-12-23 16:00,2015-12-28 01:00,439.54,427.99,-57.77,0.00,Reverse
BITCOIN,Long,BTCUSD,587401,5,2015-12-23 23:00,2015-12-28 01:00,442.74,427.99,-73.75,0.00,Reverse
BITCOIN,Long,BTCUSD,588001,4,2015-12-24 05:00,2015-12-28 01:00,453.51,427.99,-102,0.00,Reverse
BITCOIN,Long,BTCUSD,588301,4,2015-12-24 08:00,2015-12-28 01:00,456.15,427.99,-113,0.00,Reverse
BITCOIN,Long,BTCUSD,588501,4,2015-12-24 10:00,2015-12-28 01:00,456.80,427.99,-115,0.00,Reverse
BITCOIN,Long,BTCUSD,588701,4,2015-12-24 12:00,2015-12-28 01:00,455.92,427.99,-112,0.00,Reverse
BITCOIN,Long,BTCUSD,588801,4,2015-12-24 13:00,2015-12-28 01:00,453.37,427.99,-102,0.00,Reverse
BITCOIN,Long,BTCUSD,589301,4,2015-12-24 18:00,2015-12-28 01:00,454.36,427.99,-106,0.00,Reverse
BITCOIN,Long,BTCUSD,589401,4,2015-12-24 19:00,2015-12-28 01:00,453.45,427.99,-102,0.00,Reverse
BITCOIN,Long,BTCUSD,589601,4,2015-12-24 21:00,2015-12-28 01:00,453.49,427.99,-102,0.00,Reverse
BITCOIN,Short,BTCUSD,590101,5,2015-12-28 01:00,2015-12-29 22:00,427.99,427.64,+1.74,0.00,Reverse
BITCOIN,Short,BTCUSD,590201,5,2015-12-28 02:00,2015-12-29 22:00,427.63,427.64,-0.0668,0.00,Reverse
BITCOIN,Short,BTCUSD,590301,5,2015-12-28 03:00,2015-12-29 22:00,428.49,427.64,+4.26,0.00,Reverse
BITCOIN,Short,BTCUSD,590401,5,2015-12-28 04:00,2015-12-29 22:00,428.59,427.64,+4.74,0.00,Reverse
BITCOIN,Short,BTCUSD,590501,5,2015-12-28 05:00,2015-12-29 22:00,427.40,427.64,-1.18,0.00,Reverse
BITCOIN,Short,BTCUSD,590701,5,2015-12-28 07:00,2015-12-29 22:00,428.16,427.64,+2.58,0.00,Reverse
BITCOIN,Short,BTCUSD,590801,5,2015-12-28 08:00,2015-12-29 22:00,428.69,427.64,+5.25,0.00,Reverse
BITCOIN,Short,BTCUSD,591101,5,2015-12-28 11:00,2015-12-29 22:00,425.81,427.64,-9.15,0.00,Reverse
BITCOIN,Short,BTCUSD,591501,5,2015-12-28 15:00,2015-12-29 22:00,425.54,427.64,-10.51,0.00,Reverse
BITCOIN,Short,BTCUSD,591801,5,2015-12-28 18:00,2015-12-29 22:00,424.07,427.64,-17.84,0.00,Reverse
BITCOIN,Short,BTCUSD,591901,5,2015-12-28 19:00,2015-12-29 22:00,423.35,427.64,-21.46,0.00,Reverse
BITCOIN,Short,BTCUSD,592201,5,2015-12-28 22:00,2015-12-29 22:00,419.82,427.64,-39.11,0.00,Reverse
BITCOIN,Short,BTCUSD,592301,5,2015-12-28 23:00,2015-12-29 22:00,421.36,427.64,-31.39,0.00,Reverse
